1650745805268, -nan, -nan, -nan
1650745805270, -nan, -nan, -nan
1650745805278, -nan, -nan, -nan
1650745805280, -nan, -nan, -nan
1650745805282, -nan, -nan, -nan
1650745805283, -nan, -nan, -nan
1650745805285, -nan, -nan, -nan
1650745805287, -nan, -nan, -nan
1650745805292, -nan, -nan, -nan
1650745805294, -nan, -nan, -nan
1650745805295, -nan, -nan, -nan
1650745805296, -nan, -nan, -nan
1650745805298, -nan, -nan, -nan
1650745805300, -nan, -nan, -nan
1650745805302, -nan, -nan, -nan
1650745805304, -nan, -nan, -nan
1650745805305, -nan, -nan, -nan
1650745805308, -nan, -nan, -nan
1650745805310, -nan, -nan, -nan
1650745805312, -nan, -nan, -nan
1650745805313, -nan, -nan, -nan
1650745805314, -nan, -nan, -nan
1650745805316, -nan, -nan, -nan
1650745805324, -nan, -nan, -nan
1650745805326, -nan, -nan, -nan
1650745805327, -nan, -nan, -nan
1650745805329, -nan, -nan, -nan
1650745805330, -nan, -nan, -nan
1650745805331, -nan, -nan, -nan
1650745805333, -nan, -nan, -nan
1650745805335, -nan, -nan, -nan
1650745805337, -nan, -nan, -nan
1650745805340, -nan, -nan, -nan
1650745805341, -nan, -nan, -nan
1650745805342, -nan, -nan, -nan
1650745805344, -nan, -nan, -nan
1650745805351, -nan, -nan, -nan
1650745805355, -nan, -nan, -nan
1650745805357, -nan, -nan, -nan
1650745805360, -nan, -nan, -nan
1650745805362, -nan, -nan, -nan
1650745805365, -nan, -nan, -nan
1650745805371, -nan, -nan, -nan
1650745805373, -nan, -nan, -nan
1650745805375, -nan, -nan, -nan
1650745805377, -nan, -nan, -nan
1650745805380, -nan, -nan, -nan
1650745805382, -nan, -nan, -nan
1650745805384, -nan, -nan, -nan
1650745805388, -nan, -nan, -nan
1650745805390, -nan, -nan, -nan
1650745805391, -nan, -nan, -nan
1650745805393, -nan, -nan, -nan
1650745805396, -nan, -nan, -nan
1650745805398, -nan, -nan, -nan
1650745805405, -nan, -nan, -nan
1650745805406, -nan, -nan, -nan
1650745805409, -nan, -nan, -nan
1650745805411, -nan, -nan, -nan
1650745805412, -nan, -nan, -nan
1650745805413, -nan, -nan, -nan
1650745805414, -nan, -nan, -nan
1650745805417, -nan, -nan, -nan
1650745805424, -nan, -nan, -nan
1650745805426, -nan, -nan, -nan
1650745805428, -nan, -nan, -nan
1650745805429, -nan, -nan, -nan
1650745805430, -nan, -nan, -nan
1650745805432, -nan, -nan, -nan
1650745805433, -nan, -nan, -nan
1650745805435, -nan, -nan, -nan
1650745805437, -nan, -nan, -nan
1650745805440, -nan, -nan, -nan
